"GECU10YR_Index" "USGG10YR_Index" "EUSWI10_CMPN_Curncy" "SPXT_Index" "DAX_Index" "CO1_Comdty" "EURUSD_Curncy" "FWISEU55_Index"
"2016-03-04" 0.238 1.8741 1.1375 3755.47 9824.17 38.72 1.1005 1.5025
"2016-03-11" 0.271 1.9839 1.12 3800.07 9831.13 40.39 1.1156 1.5
"2016-03-18" 0.212 1.8732 1.083 3852.15 9950.8 41.2 1.127 1.4588
"2016-03-25" 0.18 1.9 1.042 3827.14 9851.35 40.44 1.1167 1.4313
"2016-04-01" 0.134 1.7705 1.063 3897.66 9794.64 38.67 1.1391 1.411
"2016-04-08" 0.095 1.7167 1.093 3852.72 9622.26 41.94 1.1399 1.441
"2016-04-15" 0.127 1.7518 1.075 3916.17 10051.57 43.1 1.1284 1.402
"2016-04-22" 0.231 1.8878 1.0855 3937 10373.49 45.11 1.1222 1.3879
"2016-04-29" 0.271 1.8333 1.163 3888.13 10038.97 48.13 1.1451 1.471
"2016-05-06" 0.144 1.7789 1.17 3875.18 9869.95 45.37 1.1404 1.4635
"2016-05-13" 0.124 1.7001 1.173 3858.17 9952.9 47.83 1.1309 1.478
"2016-05-20" 0.165 1.8384 1.17 3871.75 9916.02 48.72 1.1224 1.48
"2016-05-27" 0.138 1.851 1.18 3961.67 10286.31 49.32 1.1115 1.477
"2016-06-03" 0.068 1.7004 1.14 3963.23 10103.26 49.64 1.1367 1.461
"2016-06-10" 0.02 1.6404 1.1 3958.68 9834.62 50.54 1.1251 1.375
"2016-06-17" 0.019 1.6078 1.075 3914.15 9631.36 49.17 1.1277 1.357
"2016-06-24" -0.047 1.5599 1.025 3850.7 9557.16 48.41 1.1117 1.312
"2016-07-01" -0.126 1.4441 1.04 3976.68 9776.12 50.35 1.1136 1.312
"2016-07-08" -0.189 1.3579 0.968 4029.75 9629.66 46.76 1.1051 1.253
"2016-07-15" 0.006 1.5509 1.07 4090.49 10066.9 47.61 1.1035 1.36
"2016-07-22" -0.03 1.5663 1.034 4116.5 10147.46 45.69 1.0977 1.314
"2016-07-29" -0.119 1.4531 1.06 4114.51 10337.5 42.46 1.1174 1.3396
"2016-08-05" -0.067 1.5885 1.025 4134.56 10367.21 44.27 1.1086 1.3325
"2016-08-12" -0.108 1.5135 1.045 4139.63 10713.43 46.97 1.1162 1.325
"2016-08-19" -0.032 1.5781 1.051 4142.23 10544.36 50.88 1.1325 1.314
"2016-08-26" -0.072 1.6296 1.053 4114.68 10587.77 49.92 1.1198 1.3069
"2016-09-02" -0.043 1.6024 1.0275 4137.7 10683.82 46.83 1.1156 1.287
"2016-09-09" 0.011 1.6749 1.07 4039.95 10573.44 48.01 1.1233 1.3
"2016-09-16" 0.007 1.6926 1.08 4063.97 10276.17 45.77 1.1155 1.3283
"2016-09-23" -0.082 1.6184 1.09 4112.69 10626.97 45.89 1.1226 1.345
"2016-09-30" -0.119 1.5944 1.1025 4121.06 10511.02 49.06 1.1235 1.355
"2016-10-07" 0.02 1.7181 1.115 4096.25 10490.86 51.93 1.1201 1.3663
"2016-10-14" 0.058 1.7977 1.14 4057.28 10580.38 51.95 1.0972 1.412
"2016-10-21" 0.006 1.7347 1.18 4073.85 10710.73 51.78 1.0884 1.4575
"2016-10-28" 0.167 1.8468 1.187 4046.36 10696.19 49.71 1.0985 1.477
"2016-11-04" 0.135 1.7762 1.149 3970.02 10259.13 45.58 1.1141 1.456
"2016-11-11" 0.308 2.1501 1.225 4123.69 10667.95 44.75 1.0855 1.5414
"2016-11-18" 0.272 2.3548 1.2625 4160.58 10664.56 46.86 1.0588 1.5825
"2016-11-25" 0.24 2.3572 1.2875 4221.02 10699.27 47.24 1.0589 1.6
"2016-12-02" 0.281 2.3831 1.365 4182.81 10513.35 54.46 1.0664 1.662
"2016-12-09" 0.365 2.4675 1.43 4313.61 11203.63 54.33 1.0561 1.725
"2016-12-16" 0.314 2.5916 1.398 4312.4 11404.01 55.21 1.0451 1.666
"2016-12-23" 0.221 2.5373 1.45 4325.17 11449.93 55.16 1.0456 1.708
"2016-12-30" 0.208 2.4443 1.47 4278.66 11481.06 56.82 1.0517 1.7435
"2017-01-06" 0.298 2.4193 1.49 4354.05 11599.01 57.1 1.0532 1.7625
"2017-01-13" 0.338 2.3964 1.4775 4350.11 11629.18 55.45 1.0643 1.745
"2017-01-20" 0.421 2.4668 1.505 4344.67 11630.13 55.49 1.0703 1.755
"2017-01-27" 0.462 2.4843 1.545 4389.85 11814.27 55.52 1.0699 1.7975
"2017-02-03" 0.412 2.4648 1.535 4396.95 11651.49 56.81 1.0783 1.7738
"2017-02-10" 0.32 2.4073 1.533 4435.42 11666.97 56.7 1.0643 1.7643
"2017-02-17" 0.302 2.4147 1.5375 4506.2 11757.02 55.81 1.0616 1.7675
"2017-02-24" 0.186 2.3117 1.4825 4539.25 11804.03 55.99 1.0563 1.715
"2017-03-03" 0.356 2.478 1.45 4571.6 12027.36 55.9 1.0622 1.705
"2017-03-10" 0.485 2.5745 1.46 4553.28 11963.18 51.37 1.0673 1.719
"2017-03-17" 0.435 2.5005 1.4425 4566.17 12095.24 51.76 1.0738 1.681
"2017-03-24" 0.403 2.4123 1.4 4501.11 12064.27 50.8 1.0798 1.65
"2017-03-31" 0.328 2.3874 1.3375 4538.21 12312.87 52.83 1.0652 1.5597
"2017-04-07" 0.228 2.3822 1.365 4527.2 12225.06 55.24 1.0591 1.605
"2017-04-14" 0.187 2.2374 1.345 4477.07 12109 55.89 1.0618 1.5776
"2017-04-21" 0.253 2.248 1.373 4515.9 12048.57 51.96 1.0728 1.61
"2017-04-28" 0.317 2.2802 1.4025 4584.82 12438.01 51.73 1.0895 1.6267
"2017-05-05" 0.418 2.3487 1.397 4615.09 12716.89 49.1 1.0998 1.628
"2017-05-12" 0.391 2.3257 1.39 4602.96 12770.41 50.84 1.0931 1.6125
"2017-05-19" 0.368 2.2346 1.3775 4588.35 12638.69 53.61 1.1206 1.5966
"2017-05-26" 0.331 2.2465 1.357 4655.65 12602.18 52.15 1.1183 1.564
"2017-06-02" 0.274 2.1591 1.387 4702.56 12822.94 49.95 1.1279 1.576
"2017-06-09" 0.264 2.2005 1.367 4689.79 12815.72 48.15 1.1195 1.548
"2017-06-16" 0.276 2.1514 1.33 4695.23 12752.73 47.37 1.1198 1.53
"2017-06-23" 0.255 2.1423 1.323 4705.73 12733.41 45.54 1.1194 1.5335
"2017-06-30" 0.466 2.3037 1.38 4678.36 12325.12 47.92 1.1426 1.5792
"2017-07-07" 0.573 2.3856 1.39 4684.88 12388.68 46.71 1.1401 1.585
"2017-07-14" 0.597 2.3319 1.388 4751.43 12631.72 48.91 1.147 1.581
"2017-07-21" 0.506 2.2375 1.3775 4778.07 12240.06 48.06 1.1663 1.571
"2017-07-28" 0.542 2.2889 1.425 4778.02 12162.7 52.52 1.1751 1.557
"2017-08-04" 0.468 2.262 1.443 4789.11 12297.72 52.42 1.1773 1.586
"2017-08-11" 0.382 2.1888 1.435 4723.73 12014.06 52.1 1.1821 1.6
"2017-08-18" 0.414 2.1939 1.42 4696.22 12165.19 52.72 1.1761 1.591
"2017-08-25" 0.38 2.1659 1.415 4731.46 12167.94 52.41 1.1924 1.5875
"2017-09-01" 0.379 2.1657 1.439 4798.99 12142.64 52.75 1.186 1.61
"2017-09-08" 0.312 2.0507 1.435 4771.02 12303.98 53.78 1.2036 1.605
